ID,levels_complete,len_levels_complete
1,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits']",7
2,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '219level:boiling river', '173level:...bridges?', '234level:victory spring', '238level:hop', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '17level:unreachable shores', ""23level:but where's the key"", '33level:love is out there', '239level:jump', '235level:rocky road', '62level:telephone', '137level:not there']",35
3,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '20level:icy waters']",8
5,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters']",9
6,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '7level:catch the thief!', '310level:poem', '199level:fragility', '52level:tunnel vision', '58level:a present for you', '17level:unreachable shores', ""23level:but where's the key"", '33level:love is out there', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '111level:aiming high']",36
10,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits']",7
12,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '211level:submerged ruins', '314level:sunken temple', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '210level:two doors', '136level:jelly throne', '30level:crab storage', '166level:burglary', '310level:poem', '205level:float', '218level:warm river', '219level:boiling river', '171level:bridge building', '172level:bridge building?', '173level:...bridges?', '71level:perilous gang', '33level:love is out there', '238level:hop', '221level:grand stream', '194level:haunt', '62level:telephone', '220level:crate square']",37
13,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '5level:off limits', '6level:grass yard', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '93level:brick wall', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?', '234level:victory spring', '107level:assembly team', '210level:two doors', '136level:jelly throne', '30level:crab storage']",27
14,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '90level:volcano', '6level:grass yard', '20level:icy waters', '212level:turns']",9
15,"['0level:baba is you', '1level:where do i go?', '189level:now what is this?', '3level:out of reach', '2level:still out of reach', '5level:off limits', '90level:volcano', '20level:icy waters', '212level:turns', '10level:affection', '4level:pillar yard', '209level:lock', '15level:novice locksmith', '8level:locked in', '236level:changeless', '6level:grass yard', '310level:poem', '205level:float', '218level:warm river', '171level:bridge building', '172level:bridge building?']",21
